handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct
@adele,Adele,youtube,lifestyle,33200000,50,,FALSE,0
@rosalia,La Rosalia,tiktok,lifestyle,33000000,5.46,,TRUE,0
@zappytoons,ZappyToons - Hindi Nursery Rhymes and Stories,youtube,comedy,33000000,50,,FALSE,0
@alanbecker,Alan Becker,youtube,comedy,32900000,50,US,FALSE,0
@ashishchanchlanivines,ashish chanchlani vines,youtube,lifestyle,32800000,50,IN,FALSE,0
@_vector_,_vector_,youtube,food,32600000,50,,FALSE,0
@7clouds,7clouds,youtube,music,32500000,27.16,,FALSE,0
@luisfonsi,Luis Fonsi,youtube,lifestyle,32500000,50,US,FALSE,0
@ultrarecords,Ultra Records,youtube,music,32500000,11.1,,FALSE,0
@bigschoolminecraft,BigSchool,youtube,lifestyle,32400000,6.07,,FALSE,0
@vinijr,Vini Jr.,tiktok,lifestyle,32300000,5.35,,TRUE,0
@amirodriguezz,Ami Rodriguez,youtube,lifestyle,32200000,25.23,,FALSE,0
@jomyproductionshorts,Jomy Production,youtube,education,32100000,50,,FALSE,0
@ultramovieparlour,Ultra Movie Parlour,youtube,music,32000000,9.95,,FALSE,0
@dhruvrathee,Dhruv Rathee,youtube,education,32000000,23.01,,FALSE,0
@drakeofficial,Drake,youtube,lifestyle,32000000,50,,FALSE,0
@jypentertainment,JYP Entertainment,youtube,lifestyle,31900000,30.8,,FALSE,0
@boramtubevlog4821,Boram Tube Vlog [보람?�브 브이로그],youtube,lifestyle,31800000,50,,FALSE,0
@mr_faisu_07,user68669568003,tiktok,lifestyle,31800000,13.82,,FALSE,0
@cnliziqi,?�子??Liziqi,youtube,lifestyle,31300000,50,,FALSE,0
@boxofvengeance,Box Of Vengeance,youtube,business,31200000,50,,FALSE,0
@kidibli,Kidibli (Kinder Spielzeug Kanal),youtube,education,31200000,40.44,,FALSE,0
@jacksepticeye,jacksepticeye,youtube,gaming,31200000,10.62,IE,FALSE,0
@peppapigespanollatinooficial,Peppa Pig Español Latino - Canal Oficial,youtube,lifestyle,31000000,11.24,,FALSE,0
@kidstv,Kids TV - Nursery Rhymes And Baby Songs,youtube,music,31000000,11.34,,FALSE,0
@maluma_official,Maluma,youtube,lifestyle,30900000,50,US,FALSE,0
@toycantando,toycantando,youtube,lifestyle,30900000,50,,FALSE,0
